iter	Passed	Remaining
700	2320	989
701	2323	986
702	2327	983
703	2330	979
704	2333	976
705	2336	973
706	2339	969
707	2342	966
708	2345	962
709	2350	959
710	2353	956
711	2356	953
712	2359	949
713	2362	946
714	2365	942
715	2368	939
716	2371	936
717	2374	932
718	2377	929
719	2381	926
720	2384	922
721	2388	919
722	2390	916
723	2394	912
724	2397	909
725	2400	905
726	2403	902
727	2406	899
728	2410	896
729	2413	892
730	2416	889
731	2419	885
732	2422	882
733	2426	879
734	2430	876
735	2434	873
736	2438	870
737	2440	866
738	2444	863
739	2447	859
740	2450	856
741	2453	853
742	2456	849
743	2459	846
744	2462	843
745	2466	839
746	2469	836
747	2473	833
748	2476	829
749	2478	826
750	2481	822
751	2485	819
752	2488	816
753	2491	812
754	2495	809
755	2498	806
756	2500	802
757	2503	799
758	2507	796
759	2510	792
760	2513	789
761	2516	785
762	2519	782
763	2522	779
764	2525	775
765	2528	772
766	2532	769
767	2534	765
768	2538	762
769	2541	759
770	2544	755
771	2547	752
772	2550	749
773	2554	745
774	2557	742
775	2560	739
776	2563	735
777	2567	732
778	2570	729
779	2573	725
780	2576	722
781	2580	719
782	2583	716
783	2587	712
784	2590	709
785	2594	706
786	2597	703
787	2601	699
788	2604	696
789	2607	693
790	2611	689
791	2614	686
792	2617	683
793	2620	679
794	2623	676
795	2626	673
796	2630	669
797	2633	666
798	2636	663
799	2639	659
800	2642	656
801	2645	653
802	2648	649
803	2651	646
804	2654	642
805	2657	639
806	2660	636
807	2664	633
808	2666	629
809	2670	626
810	2673	622
811	2676	619
812	2679	616
813	2683	613
814	2686	609
815	2689	606
816	2693	603
817	2697	600
818	2700	596
819	2703	593
820	2707	590
821	2711	587
822	2714	583
823	2718	580
824	2722	577
825	2725	574
826	2729	570
827	2732	567
828	2735	564
829	2739	561
830	2742	557
831	2746	554
832	2749	551
833	2753	547
834	2755	544
835	2759	541
836	2762	538
837	2765	534
838	2769	531
839	2772	528
840	2776	524
841	2779	521
842	2784	518
843	2788	515
844	2792	512
845	2795	508
846	2798	505
847	2801	502
848	2803	498
849	2807	495
850	2810	492
851	2813	488
852	2816	485
853	2819	481
854	2822	478
855	2825	475
856	2828	471
857	2831	468
858	2834	465
859	2837	461
860	2840	458
861	2843	455
862	2846	451
863	2849	448
864	2852	445
865	2854	441
866	2858	438
867	2861	435
868	2864	431
869	2867	428
870	2870	425
871	2873	421
872	2876	418
873	2879	415
874	2882	411
875	2885	408
876	2888	405
877	2891	401
878	2894	398
879	2898	395
880	2901	391
881	2904	388
882	2906	385
883	2909	381
884	2912	378
885	2915	375
886	2919	371
887	2922	368
888	2925	365
889	2928	361
890	2931	358
891	2934	355
892	2937	351
893	2940	348
894	2943	345
895	2946	341
896	2949	338
897	2952	335
898	2955	332
899	2958	328
900	2962	325
901	2966	322
902	2969	318
903	2971	315
904	2974	312
905	2977	308
906	2981	305
907	2984	302
908	2987	299
909	2990	295
910	2993	292
911	2996	289
912	2999	285
913	3002	282
914	3005	279
915	3009	275
916	3012	272
917	3015	269
918	3018	266
919	3021	262
920	3024	259
921	3028	256
922	3031	252
923	3034	249
924	3037	246
925	3040	242
926	3043	239
927	3047	236
928	3050	233
929	3053	229
930	3056	226
931	3059	223
932	3063	219
933	3066	216
934	3069	213
935	3072	210
936	3075	206
937	3079	203
938	3082	200
939	3086	196
940	3089	193
941	3092	190
942	3095	187
943	3099	183
944	3102	180
945	3105	177
946	3108	173
947	3112	170
948	3115	167
949	3118	164
950	3121	160
951	3125	157
952	3128	154
953	3131	150
954	3134	147
955	3137	144
956	3140	141
957	3143	137
958	3146	134
959	3150	131
960	3153	127
961	3157	124
962	3160	121
963	3163	118
964	3166	114
965	3170	111
966	3173	108
967	3176	105
968	3180	101
969	3183	98
970	3187	95
971	3190	91
972	3193	88
973	3196	85
974	3200	82
975	3203	78
976	3206	75
977	3210	72
978	3213	68
979	3216	65
980	3219	62
981	3222	59
982	3226	55
983	3229	52
984	3232	49
985	3235	45
986	3239	42
987	3242	39
988	3245	36
989	3249	32
990	3252	29
991	3255	26
992	3258	22
993	3262	19
994	3264	16
995	3268	13
996	3271	9
997	3275	6
998	3278	3
999	3281	0
