iter	Logloss
204	0.3869097882
205	0.3866742854
206	0.3864334049
207	0.3861377388
208	0.38578666
209	0.3853260567
210	0.3852030144
211	0.3850253399
212	0.3846521019
213	0.3843817361
214	0.3841262327
215	0.3838469711
216	0.3836421515
217	0.3833703162
218	0.3831593454
219	0.3829736943
220	0.3825266423
221	0.3824043883
222	0.3822666002
223	0.3821077837
224	0.3819031731
225	0.3817694586
226	0.3813961201
227	0.3812236678
228	0.381024546
229	0.3805536448
230	0.3801391223
231	0.3799546871
232	0.3797601645
233	0.3796240727
234	0.3792994325
235	0.3790867349
236	0.3787556713
237	0.3785324477
238	0.3783870836
239	0.3780792951
240	0.3778971852
241	0.3776507837
242	0.3774318033
243	0.3772927722
244	0.3771508504
245	0.3767796716
246	0.3766257888
247	0.3765166687
248	0.3761652094
249	0.3759737155
250	0.3757018792
251	0.3754915127
252	0.3753730061
253	0.3752138319
254	0.3748692321
255	0.3747385843
256	0.3745592799
257	0.3744647877
258	0.3742059494
259	0.3740160466
260	0.3738757785
261	0.3736933975
262	0.3734556767
263	0.3733863234
264	0.3731708844
265	0.3730346541
266	0.3727598491
267	0.3726631206
268	0.3724803131
269	0.3723389818
270	0.3721837016
271	0.3719362453
272	0.3717508982
273	0.3715709381
274	0.3714766583
275	0.3713375103
276	0.3711810031
277	0.3709852838
278	0.3708240101
279	0.3707272848
280	0.3704999479
281	0.3702996041
282	0.370118873
283	0.3699380511
284	0.3698489024
285	0.3697662319
286	0.3695951965
287	0.3693014507
288	0.3691563364
289	0.3690232408
290	0.3688851743
291	0.3687649572
292	0.3686237901
293	0.3684645467
294	0.3683486446
295	0.3682341482
296	0.3680794778
297	0.3678436929
298	0.3677428778
299	0.3676035611
300	0.3674602317
301	0.3672757116
302	0.36718033
303	0.3670650597
304	0.3669469527
305	0.3668052548
306	0.3666794375
307	0.366575974
308	0.3663955109
309	0.3662352644
310	0.3660716095
311	0.3658487624
312	0.3657020122
313	0.3656073907
314	0.3654668397
315	0.3652660543
316	0.3651575938
317	0.3650836692
318	0.3649336673
319	0.3648216252
320	0.3646875676
321	0.364571589
322	0.3644636845
323	0.3643563389
324	0.364242448
325	0.364121484
326	0.3639387273
327	0.3637454444
328	0.3636411735
329	0.3635272221
330	0.3633319203
331	0.3632334209
332	0.3630888134
333	0.3629322987
334	0.3628005277
335	0.3626371108
336	0.3624927454
337	0.3623722747
338	0.3622754123
339	0.3620829089
340	0.3619749786
341	0.3618096846
342	0.3616440915
343	0.3613874745
344	0.3612177045
345	0.3610393477
346	0.3609162289
347	0.3608053451
348	0.3606129799
349	0.3605832265
350	0.3604255873
351	0.3603399934
352	0.3600640215
353	0.3599499535
354	0.3597700753
355	0.3596468863
356	0.3593920516
357	0.3592125864
358	0.3591004434
359	0.3588714369
360	0.3587695938
361	0.3586761966
362	0.3584335928
363	0.358334293
364	0.358082914
365	0.3579059683
366	0.3576100032
367	0.3574960454
368	0.3573621363
369	0.3572257993
370	0.3570255716
371	0.3569045465
372	0.3567814817
373	0.3566813667
374	0.35652252
375	0.356292144
376	0.3561430096
377	0.3560286215
378	0.3559382716
379	0.3558241941
380	0.3557114308
381	0.3555892932
382	0.3555132276
383	0.355438639
384	0.3552247463
385	0.3550551387
386	0.35491745
387	0.3548215444
388	0.3546250669
389	0.354301882
390	0.3541647434
391	0.3540344823
392	0.3539160959
393	0.3537101532
394	0.3536196867
395	0.3535212825
396	0.3533323221
397	0.3531733421
398	0.3530806922
399	0.3528797224
400	0.3527758921
401	0.3526614329
402	0.3525349165
403	0.352440074
404	0.3523087135
405	0.352215171
406	0.3520236322
407	0.3518679516
408	0.3517910633
409	0.3516923314
410	0.3515774667
411	0.3514307161
412	0.3513592253
413	0.3511547617
414	0.3510142338
415	0.3509205626
416	0.3507665495
417	0.3505973457
418	0.3504929246
419	0.3502745563
420	0.3501723739
421	0.3499727473
422	0.349905003
423	0.3498185065
424	0.3496454219
425	0.3494399427
426	0.3492438238
427	0.3491197494
428	0.3489961257
429	0.3488952746
430	0.3487623051
431	0.3486787565
432	0.3485134399
433	0.348302808
434	0.3481273913
435	0.347878753
436	0.3477887839
437	0.3476791154
438	0.3475810793
439	0.3475022932
440	0.3473250122
441	0.3471532727
442	0.3470179694
443	0.346899882
444	0.3467342222
445	0.3465636459
446	0.3464929457
447	0.346366193
448	0.3463088218
449	0.3461437252
450	0.3459593874
451	0.3458767894
452	0.3457180292
453	0.3456472019
454	0.3454899108
455	0.3453869157
456	0.3453234922
457	0.3451768463
458	0.3451024772
459	0.3449462269
460	0.3448272563
461	0.3447612025
462	0.3445817669
463	0.344404252
464	0.3442660172
465	0.3441025225
466	0.3440032526
467	0.3438147816
468	0.3437009726
469	0.3435432424
470	0.3434305732
471	0.3433518587
472	0.3432960838
473	0.3431705586
474	0.3430426465
475	0.3428334761
476	0.3426795812
477	0.3425541684
478	0.342440996
479	0.3423045131
480	0.342200038
481	0.3420906824
482	0.3419275339
483	0.3418484079
484	0.341693475
485	0.3416191237
486	0.3415386354
487	0.3414747348
488	0.3413466867
489	0.3412704156
490	0.3411300153
491	0.3409928245
492	0.3409044027
493	0.3408594672
494	0.3407611345
495	0.340565962
496	0.3404053454
497	0.3402416024
498	0.3401538325
499	0.3399575027
500	0.3398601115
501	0.339799048
502	0.3396210188
503	0.3395293219
504	0.3394294734
505	0.3392772543
506	0.3391710321
507	0.3390182336
508	0.3388747077
509	0.3387018842
510	0.3386270061
511	0.3385359762
512	0.3383654251
513	0.3381514522
514	0.3380674544
515	0.3379076819
516	0.3377431278
517	0.3376114372
518	0.3374872333
519	0.3373569455
520	0.3373017074
521	0.337246032
522	0.3371224356
523	0.337055162
524	0.3368658341
525	0.3367012031
526	0.3366290616
527	0.3364896933
528	0.3363277892
529	0.3362386369
530	0.3361363302
531	0.3360690885
532	0.3359517315
533	0.3358879144
534	0.3358012067
535	0.3356098258
536	0.3355143043
537	0.3353711199
538	0.3352112251
539	0.3351616475
540	0.3350211807
541	0.3349143816
542	0.3348504028
543	0.3347237975
544	0.3346311241
545	0.3344642894
546	0.3343747654
547	0.3342628486
548	0.334202052
549	0.3340752771
550	0.3339401235
551	0.3338747534
552	0.3338304992
553	0.3337081885
554	0.3336592532
555	0.3334923278
556	0.3334299518
557	0.3333651824
558	0.3332301184
559	0.3330909877
560	0.3329472526
561	0.3328668028
562	0.3326715562
563	0.3325168986
564	0.3324372859
565	0.3323535918
566	0.332284216
567	0.3321647241
568	0.3319780781
569	0.3317617611
570	0.3317050479
571	0.331622428
572	0.331552385
573	0.3314083613
574	0.3313461906
575	0.3312855651
576	0.3311089304
577	0.3310072523
578	0.330850543
579	0.3307910043
580	0.330624486
581	0.3304874961
582	0.3302904884
583	0.3300856739
584	0.3299620171
585	0.3298988662
586	0.3297205555
587	0.3295623788
588	0.3294263444
589	0.3292602386
590	0.32909651
591	0.3290118935
592	0.3288494027
593	0.328729815
594	0.3286420436
595	0.3285358624
596	0.3284254168
597	0.3282903197
598	0.3281098603
599	0.3279937853
600	0.3278835532
601	0.3277631094
602	0.3276849588
603	0.3276029373
604	0.32746993
605	0.3273247849
606	0.3272106286
607	0.3270124146
608	0.3268378733
609	0.3266972267
610	0.3265670515
611	0.3264829169
612	0.3263676472
613	0.326255367
614	0.3261482366
615	0.3260735817
616	0.3259669478
617	0.3258154414
618	0.3257322168
619	0.3256144665
620	0.3254526864
621	0.3253972534
622	0.3252722693
623	0.3250955785
624	0.3250419915
625	0.3249710606
626	0.3248772071
627	0.3247775884
628	0.3246053699
629	0.3245480779
630	0.3244165648
631	0.3243288773
632	0.3241975976
633	0.3240341897
634	0.3238941606
635	0.3237353584
636	0.323609965
637	0.3234858747
638	0.3234080598
639	0.3232822941
640	0.3231821137
641	0.3230820127
642	0.3230168869
643	0.3228466228
644	0.3228083335
645	0.3227136829
646	0.3226400515
647	0.322540368
648	0.3224866923
649	0.3223188601
650	0.3222199311
651	0.322164587
652	0.321990059
653	0.3219322537
654	0.3217634869
655	0.3216401014
656	0.3215430696
657	0.3214010238
658	0.32122148
659	0.3211178726
660	0.3210137877
661	0.320842448
662	0.3207212937
663	0.3205519816
664	0.3204747976
665	0.3203819273
666	0.3202607334
667	0.3201535235
668	0.3200922913
669	0.3199684289
670	0.3198708555
671	0.3197606255
672	0.3196268504
673	0.319525873
674	0.3194596456
675	0.3193344802
676	0.3192300991
677	0.3191632338
678	0.3190391494
679	0.3188799204
680	0.3188125424
681	0.3186752651
682	0.318535512
683	0.3184913982
684	0.3184237349
685	0.3183751746
686	0.318258927
687	0.3181868409
688	0.3180939417
689	0.3180080905
690	0.3178992803
691	0.3178426182
692	0.3177269459
693	0.3176123251
694	0.3175441977
695	0.3174898878
696	0.3173788998
697	0.3172330042
698	0.317126841
699	0.3169823047
700	0.3168724956
701	0.3167699806
702	0.3166519171
703	0.3164875876
704	0.3163400829
705	0.3162274576
706	0.3161626106
707	0.3160089618
708	0.3159015335
709	0.315784958
710	0.3157285025
711	0.3156329766
712	0.3155875725
713	0.3154468755
714	0.3153607664
715	0.3152795142
716	0.315179491
717	0.3150655772
718	0.3149697873
719	0.314908459
720	0.3148164735
721	0.3146923793
722	0.3146384958
723	0.314589824
724	0.3144766708
725	0.3144229385
726	0.3143224837
727	0.3142591432
728	0.3141558216
729	0.3140634785
730	0.313929165
731	0.3138261552
732	0.3137156535
733	0.3135791528
734	0.3134157088
735	0.3132931662
736	0.3131672682
737	0.3130464442
738	0.3129037478
739	0.3128416178
740	0.3127422371
741	0.3126140388
742	0.3125495761
743	0.3124495144
744	0.3122938658
745	0.3121671922
746	0.3121078445
747	0.3119692739
748	0.3118652063
749	0.3118045038
750	0.3117238625
751	0.3116566536
752	0.3115830715
753	0.3114923045
754	0.3113828258
755	0.3113191603
756	0.3112535465
757	0.3111509396
758	0.3110841698
759	0.3109903954
760	0.3108703454
761	0.3107774812
762	0.3107018882
763	0.3106317028
764	0.3105908196
765	0.3104996014
766	0.3104392033
767	0.3103018404
768	0.3102264866
769	0.3101413875
770	0.3101019171
771	0.3099943264
772	0.3099168375
773	0.3097713395
774	0.3096653166
775	0.3095800124
776	0.3094773623
777	0.3093706882
778	0.3092558029
779	0.309198077
780	0.3090884133
781	0.3090239532
782	0.3088932603
783	0.3088296383
784	0.3086993072
785	0.3085960993
786	0.3084894595
787	0.3083960181
788	0.3083633032
789	0.3083080293
790	0.3082530551
791	0.3081611316
792	0.3080692885
793	0.3079753009
794	0.3079198677
795	0.3077830041
796	0.3076900102
797	0.3075596647
798	0.3074202785
799	0.3073294896
800	0.3072808873
801	0.3071607481
802	0.3070384974
803	0.3069684607
804	0.3068820502
805	0.3067491473
806	0.3066635945
807	0.3065602825
808	0.3064924385
809	0.3064331614
810	0.3063582599
811	0.3063135305
812	0.3062246169
813	0.3061529855
814	0.306048018
815	0.3059972865
816	0.3059029425
817	0.3057962624
818	0.3056716165
819	0.3056375956
820	0.3055466173
821	0.3055036328
822	0.3053577367
823	0.3052384382
824	0.3051830092
825	0.3050677786
826	0.3049864145
827	0.3049070249
828	0.3047960581
829	0.3046683068
830	0.3045348654
831	0.304444169
832	0.3043169037
833	0.3042215326
834	0.3041608002
835	0.3040958274
836	0.3040650848
837	0.3040111215
838	0.3039230322
839	0.303819738
840	0.3037665166
841	0.3037023722
842	0.3035790137
843	0.3035044519
844	0.3033921861
845	0.3033117083
846	0.3031879135
847	0.3030655682
848	0.3030186677
849	0.3029299693
850	0.3028909946
851	0.3027906735
852	0.3027290827
853	0.302613661
854	0.3025860338
855	0.3025193753
856	0.3024461749
857	0.3023958235
858	0.3023316368
859	0.3022169446
860	0.3021581689
861	0.302123801
862	0.3020486124
863	0.3019625088
864	0.3018637425
865	0.3018207879
866	0.3017260084
867	0.3016863122
868	0.3016045824
869	0.301506948
870	0.3014286954
871	0.3013771324
872	0.3013030154
873	0.3011956631
874	0.3011141756
875	0.3010354466
876	0.300945419
877	0.3008816429
878	0.300808441
879	0.3007124267
880	0.3006131364
881	0.3004844649
882	0.3003700082
883	0.30033121
884	0.3002579652
885	0.3001733399
886	0.3001072665
887	0.3000268503
888	0.2999583736
889	0.2999160622
890	0.2998009912
891	0.2996824389
892	0.2996057576
893	0.2995580892
894	0.299477294
895	0.2994429401
896	0.2993951942
897	0.299291416
898	0.2992223555
899	0.2991511689
900	0.299029053
901	0.2989436546
902	0.2988733257
903	0.2987341766
904	0.2986423613
905	0.2985976501
906	0.2984798635
907	0.2983676136
908	0.2983152183
909	0.2982047171
910	0.2980979861
911	0.2980566914
912	0.2979720618
913	0.2979382048
914	0.2978940852
915	0.297781799
916	0.2976783506
917	0.2976285466
918	0.2975737236
919	0.2974897383
920	0.2973947338
921	0.2972935766
922	0.2971983224
923	0.2970973005
924	0.2970027109
925	0.2968997403
926	0.2968406484
927	0.2967828986
928	0.296676795
929	0.2965746903
930	0.2964633822
931	0.2963458307
932	0.296233155
933	0.2961428985
934	0.2960850786
935	0.2960213389
936	0.2959403415
937	0.2958464342
938	0.295743054
939	0.2956688797
940	0.2955657448
941	0.2954712851
942	0.2954109864
943	0.2953443695
944	0.2952699256
945	0.2952141698
946	0.2951270386
947	0.2950562185
948	0.294982524
949	0.2949193701
950	0.2948696458
951	0.2948159357
952	0.2947613897
953	0.2946986113
954	0.2946053346
955	0.2944973247
956	0.2944150906
957	0.2943186125
958	0.2942539539
959	0.2941993353
960	0.2941131113
961	0.2940489556
962	0.2939773208
963	0.2938674084
964	0.2937942091
965	0.2937555265
966	0.293666946
967	0.2935966917
968	0.2935325617
969	0.2933921315
970	0.293311596
971	0.2932150038
972	0.2931089826
973	0.2930288444
974	0.2929646649
975	0.2929263909
976	0.2928569458
977	0.2927802092
978	0.2926637188
979	0.2925711203
980	0.2924984005
981	0.292429548
982	0.2923194695
983	0.2922207156
984	0.2921308162
985	0.2920687572
986	0.2919931578
987	0.2919408374
988	0.2918273249
989	0.2917815529
990	0.2917394437
991	0.291666015
992	0.2915673223
993	0.291521846
994	0.2914973929
995	0.2913892477
996	0.291321522
997	0.2912242417
998	0.2911730686
999	0.2911247789
